年份,地区,文本总词频,环保词频_总计,环保词频_污染防治,环保词频_绿色低碳,环保词频_生态保护,环保词频_环境监管,环境规制强度_Z1,地区_归一化,人均地区生产总值（元）,地区生产总值（万元）,常住人口城镇化率（%）,第三产业增加值占GDP比重（%）,生活垃圾卫生填埋场处理量（万吨）,生活垃圾焚烧厂处理量（万吨）,无害化处理量（万吨）,生活垃圾清运量（万吨）,市容环卫专用车辆设备总数（台）,市容环境卫生投资（万元）,第一产业占比(2022),第二产业占比(2022),第三产业占比(2022)
2017,宁波市,6981,114,15,23,36,40,1.633003867640739,宁波,123955.0,98420600.0,,,34.78,105.4,151.83,151.83,908.0,64046.0,,,
2018,宁波市,5522,67,7,11,15,34,1.2133285041651576,宁波,132603.0,107454632.0,,45.9,15.00711,134.06541,159.41028,159.41028,1033.0,66131.85,,,
2019,宁波市,5820,59,8,9,8,34,1.013745704467354,宁波,143157.0,119850000.0,,49.06,10.98765,137.76106,161.20756,161.2076,1109.0,107371.28,,,
2020,宁波市,6267,62,9,3,16,34,0.9893090793042923,宁波,132614.0,124090000.0,,51.38,5.91775,121.58393,150.25251,150.25251,1242.0,69872.0,,,
2021,宁波市,7179,85,10,15,31,29,1.1840089148906532,宁波,153922.0,145950000.0,,49.62,0.0,120.23192,143.35412,143.35412,1444.0,32408.0,,,
2022,宁波市,6569,87,6,22,20,39,1.3244024965748211,宁波,163911.0,157040000.0,,50.36,0.0,116.93621,142.8074,142.8074,1740.0,16728.0,2.43,47.21,50.36
2023,宁波市,7431,97,5,30,20,42,1.3053424841878616,宁波,170363.0,164530000.0,79.85,51.84,0.0,116.488,142.60749,142.60749,2010.0,16645.0,,,
2013,安庆市,4841,72,9,10,18,35,1.4872960132204092,安庆,22801.0,14182282.0,,32.61,,34.65,34.65,35.3,57.0,,,,
2014,安庆市,4129,62,9,6,22,25,1.5015742310486802,安庆,28808.0,15443170.0,,33.49,,27.18,27.18,27.48,57.0,,,,
2015,安庆市,4114,59,11,10,15,23,1.4341273699562471,安庆,31101.0,14174300.0,,36.53,,27.18,27.18,27.48,58.0,,,,
2016,安庆市,4640,70,12,19,17,22,1.5086206896551724,安庆,33294.0,15311776.0,,39.97,,21.04,21.04,21.04,60.0,657.0,,,
2017,安庆市,4269,75,9,23,14,29,1.7568517217146873,安庆,36928.0,17088300.0,,,,20.91,20.91,20.91,728.0,11974.0,,,
2018,安庆市,6709,131,10,46,24,51,1.9526009837531677,安庆,41088.0,19175850.0,,39.7,0.0,17.50207,17.50207,17.5021,763.0,17888.0,,,
2019,安庆市,4300,74,8,9,25,32,1.7209302325581397,安庆,50574.0,23810000.0,,45.98,0.0,23.7458,24.9297,24.9297,851.0,29001.22,,,
2020,安庆市,4492,76,15,5,21,35,1.6918967052537843,安庆,58684.0,24680000.0,,47.04,0.0,24.76589,25.9802,25.9802,851.0,9368.0,,,
2021,安庆市,7476,119,12,17,45,45,1.5917602996254685,安庆,63707.0,26570000.0,,46.71,0.0,25.49757,27.02506,27.02506,851.0,1460.0,,,
2022,安庆市,3556,68,15,11,17,25,1.9122609673790776,安庆,66470.0,27670000.0,,46.6,0.0,23.78798,25.55285,25.55285,851.0,14072.0,9.49,43.91,46.60
2023,安庆市,6913,114,14,36,31,33,1.6490669752639953,安庆,69583.0,28780000.0,57.49,48.56,0.0,24.95499,27.74019,27.74016,854.0,5466.0,,,
2013,宜宾市,6296,68,11,10,18,29,1.0800508259212198,宜宾,24416.0,13428937.0,,24.56,21.51,,21.51,26.69,186.0,,,,
2014,宜宾市,5642,84,12,11,24,37,1.488833746898263,宜宾,32318.0,14438115.0,,26.19,25.98,,25.98,26.34,245.0,,,,
2015,宜宾市,5833,73,11,7,17,38,1.251500085719184,宜宾,34060.0,15259043.0,,27.5,27.4,,27.4,29.21,282.0,,,,
2016,宜宾市,6661,106,14,35,22,35,1.5913526497522894,宜宾,36735.0,16530529.0,,31.09,28.28,,28.28,28.28,297.0,,,,
2017,宜宾市,6828,107,9,22,31,45,1.5670767428236674,宜宾,40868.0,18472300.0,,,25.7,4.51,30.21,30.21,322.0,,,,
2018,宜宾市,6526,120,11,16,42,51,1.8387986515476555,宜宾,44604.0,20263707.0,,38.05,0.0,34.89318,34.89318,34.89318,418.0,,,,
2019,宜宾市,7795,131,13,23,52,43,1.6805644644002564,宜宾,57003.0,26020000.0,,39.02,0.0,30.3135,30.3135,30.3135,306.0,900.0,,,
2020,宜宾市,7236,112,14,10,42,46,1.5478164731896076,宜宾,61182.0,28020000.0,,39.54,7.64151,32.84102,41.95049,41.95049,387.0,18348.0,,,
2021,宜宾市,7841,116,14,21,51,30,1.4794031373549292,宜宾,68481.0,31480000.0,,38.85,5.3005,32.2461,41.71594,41.71594,681.0,22458.0,,,
2022,宜宾市,7278,84,11,16,38,19,1.1541632316570487,宜宾,74341.0,34280000.0,,38.18,0.0,36.53267,41.93844,41.93847,756.0,25066.0,11.55,50.27,38.18
2023,宜宾市,8122,117,15,32,39,31,1.440531888697365,宜宾,82341.0,38070000.0,54.91,39.76,0.0,36.2371,42.3196,42.31964,798.0,9263.0,,,
2013,宜昌市,5812,60,8,5,17,30,1.032346868547832,宜昌,70452.0,28180700.0,,27.97,30.24,,30.24,33.02,173.0,7411.0,,,
2014,宜昌市,5610,91,8,12,27,44,1.6221033868092691,宜昌,76369.0,31322100.0,,29.47,31.1,,31.1,32.69,211.0,10659.0,,,
2015,宜昌市,6232,99,12,24,21,42,1.5885750962772789,宜昌,82360.0,33848000.0,,30.37,30.28,,30.28,31.43,234.0,7123.0,,,
2016,宜昌市,6473,101,11,25,31,34,1.5603275142901285,宜昌,89978.0,37093600.0,,32.02,31.97,,31.97,31.97,253.0,2157.0,,,
2017,宜昌市,5078,118,9,31,41,37,2.3237495076801893,宜昌,93331.0,38571700.0,,,37.71,,38.62,38.62,419.0,5504.0,,,
2018,宜昌市,5373,111,11,28,35,37,2.0658849804578447,宜昌,98269.0,40641800.0,,38.03,38.2959,0.0,41.37496,41.37496,410.0,1774.34,,,
2019,宜昌市,6091,116,10,25,48,33,1.9044491873255625,宜昌,107830.0,44610000.0,,44.62,43.6094,0.0,48.1187,48.1187,423.0,3900.0,,,
2020,宜昌市,5382,93,11,13,21,48,1.7279821627647716,宜昌,104807.0,42610000.0,,46.3,40.916,0.0,44.0101,44.0101,435.0,5159.0,,,
2021,宜昌市,6425,99,9,24,30,36,1.5408560311284047,宜昌,127091.0,50230000.0,,47.18,39.956,0.0,49.9853,49.9853,556.0,300.0,,,
2022,宜昌市,2866,40,2,12,18,8,1.3956734124214931,宜昌,140552.0,55030000.0,,45.21,35.0742,0.0,44.4811,44.4811,540.0,96715.0,10.68,44.11,45.21
2023,宜昌市,5413,85,8,25,26,26,1.5702937372990948,宜昌,146771.0,57560000.0,65.32,49.81,11.5836,26.66399,45.09749,45.0975,592.0,14550.0,,,
2013,宝鸡市,6193,82,10,16,25,31,1.3240755691910222,宝鸡,40049.0,15459100.0,,23.99,29.2,,29.2,29.2,187.0,10061.0,,,
2014,宝鸡市,5381,86,7,16,25,38,1.598215944991637,宝鸡,43824.0,16429000.0,,26.17,36.34,,36.34,36.34,192.0,11911.0,,,
2015,宝鸡市,4605,76,13,13,22,28,1.6503800217155264,宝鸡,47565.0,17876280.0,,26.91,36.54,,36.54,36.54,192.0,17729.0,,,
2016,宝鸡市,5475,97,15,15,35,32,1.771689497716895,宝鸡,51262.0,19321400.0,,27.62,24.89,,24.89,24.97,196.0,2000.0,,,
2017,宝鸡市,6191,96,12,21,36,27,1.5506380229365209,宝鸡,58010.0,21916100.0,,,21.4,,21.4,21.42,208.0,300.0,,,
2018,宝鸡市,5136,72,9,18,28,17,1.4018691588785046,宝鸡,59988.0,22651600.0,,29.48,28.63146,0.0,28.63146,28.66012,208.0,370.0,,,
2019,宝鸡市,5313,59,6,9,16,28,1.1104837191793715,宝鸡,59050.0,22240000.0,,34.68,37.89146,0.0,37.89146,37.89146,215.0,330.0,,,
2020,宝鸡市,4680,73,8,7,27,31,1.5598290598290598,宝鸡,67666.0,22770000.0,,35.62,33.77995,0.0,33.77995,33.77995,224.0,1504.0,,,
2021,宝鸡市,5930,96,5,13,30,48,1.6188870151770656,宝鸡,77210.0,25490000.0,,34.44,41.89128,0.0,41.89128,41.89128,274.0,0.0,,,
2022,宝鸡市,5095,75,7,9,30,29,1.4720314033366046,宝鸡,83801.0,27430000.0,,34.0,41.0873,0.0,41.0873,41.0873,281.0,4421.0,8.54,57.46,34.00
2023,宝鸡市,4440,56,7,10,20,19,1.2612612612612613,宝鸡,80998.0,26410000.0,61.0,34.53,37.7725,0.0,41.9627,41.9627,304.0,18789.0,,,
2013,宣城市,5272,81,10,11,23,37,1.5364188163884671,宣城,30100.0,8428049.0,,33.23,10.71,,10.71,10.71,45.0,7797.0,,,
2014,宣城市,5808,76,8,5,29,34,1.3085399449035813,宣城,35726.0,9176300.0,,35.75,11.84,,11.84,11.84,140.0,13045.0,,,
2015,宣城市,5621,72,6,6,22,38,1.2809108699519658,宣城,37610.0,9714569.0,,38.79,11.92,,11.92,11.92,142.0,85.0,,,
2016,宣城市,7317,91,8,11,32,40,1.2436791034577013,宣城,40740.0,10578243.0,,40.47,1.22,12.3,13.52,13.52,148.0,30018.0,,,
2017,宣城市,6802,94,6,20,32,36,1.3819464863275506,宣城,45467.0,11855600.0,,,1.24,27.19,28.42,28.42,210.0,125260.0,,,
2018,宣城市,7002,124,14,30,23,57,1.7709225935447013,宣城,50065.0,13172047.0,,41.01,5.4015,6.64,12.0415,12.0415,123.0,22275.0,,,
2019,宣城市,6136,85,8,15,20,42,1.3852672750977837,宣城,58819.0,15610000.0,,43.12,2.96153,9.44847,12.41,12.41,125.0,54860.58,,,
2020,宣城市,5727,68,4,12,18,34,1.187358128164833,宣城,64301.0,16070000.0,,42.75,0.0,13.0664,13.0664,13.0664,140.0,1535.0,,,
2021,宣城市,5676,74,4,16,31,23,1.3037350246652573,宣城,73548.0,18340000.0,,42.04,0.0,14.4863,14.4863,14.4863,140.0,10992.0,,,
2022,宣城市,6503,98,8,20,37,33,1.5069967707212055,宣城,76853.0,19140000.0,,41.66,0.0,14.1055,15.2382,15.2383,137.0,4300.0,9.38,48.96,41.66
2023,宣城市,6307,106,12,31,27,36,1.680672268907563,宣城,78358.0,19520000.0,63.55,44.35,0.0,14.9406,16.0254,16.0254,133.0,600.0,,,
2013,宿迁市,3928,40,4,5,10,21,1.0183299389002036,宿迁,29830.0,17062756.0,,38.43,,20.1,20.1,20.1,184.0,4992.0,,,
2014,宿迁市,6399,63,8,2,14,39,0.9845288326300984,宿迁,39963.0,19306800.0,,38.9,,25.2,25.2,25.2,240.0,4794.0,,,
2015,宿迁市,7219,137,13,13,48,63,1.897769774206954,宿迁,43853.0,21261900.0,,39.35,5.42,21.38,26.8,26.8,272.0,5067.0,,,
2016,宿迁市,6800,125,13,12,49,51,1.8382352941176472,宿迁,48311.0,23511200.0,,39.81,,27.82,27.82,27.82,374.0,830.0,,,
2017,宿迁市,8956,151,19,11,49,72,1.6860205448861096,宿迁,55582.0,26109401.0,,,,27.03,28.59,28.59,392.0,35796.0,,,
2018,宿迁市,6613,123,15,14,51,43,1.8599727808861333,宿迁,55906.0,27507200.0,,42.55,0.0,31.0758,34.93443,34.93443,480.0,2725.47,,,
2019,宿迁市,6350,83,9,10,30,34,1.3070866141732285,宿迁,62840.0,30990000.0,,46.8,0.0,30.753,35.56001,35.56001,524.0,,,,
2020,宿迁市,5956,84,3,10,28,43,1.4103425117528543,宿迁,65503.0,32620000.0,,47.64,0.0,31.9257,36.35034,36.35034,672.0,200.0,,,
2021,宿迁市,6260,108,13,19,43,33,1.7252396166134183,宿迁,74476.0,37190000.0,,47.14,0.0,33.55193,38.67997,38.67997,674.0,4840.0,,,
2022,宿迁市,5675,87,5,28,32,22,1.5330396475770929,宿迁,82452.0,41120000.0,,46.05,0.0,36.37,41.2757,41.2757,890.0,19140.0,9.11,44.84,46.05
2023,宿迁市,5076,77,3,25,22,27,1.5169424743892828,宿迁,88379.0,43980000.0,65.0,46.99,0.0,40.9621,45.38827,45.38827,901.0,3204.0,,,
2013,常州市,5130,84,10,11,19,44,1.6374269005847957,常州,96547.0,43609347.0,,45.22,11.02,48.22,59.24,59.24,292.0,4468.0,,,
2014,常州市,3651,72,14,5,28,25,1.9720624486442069,常州,104423.0,49018700.0,,48.05,15.22,46.61,61.83,61.83,289.0,58638.0,,,
2015,常州市,4633,87,17,5,36,29,1.877832937621412,常州,112221.0,52731500.0,,49.51,25.21,51.27,76.48,76.48,520.0,45065.0,,,
2016,常州市,4497,90,8,18,32,32,2.0013342228152102,常州,122721.0,57738600.0,,50.9,15.68,67.85,83.53,83.53,657.0,27750.0,,,
2017,常州市,5232,88,2,17,34,35,1.6819571865443423,常州,137459.0,66184200.0,,,21.1,52.87,81.38,81.38,681.0,94509.0,,,
2018,常州市,4974,77,10,14,24,29,1.5480498592681946,常州,149277.0,70502700.0,,51.5,22.802,78.9124,111.0838,111.0838,858.0,2680.0,,,
2019,常州市,5552,93,19,13,25,36,1.67507204610951,常州,156390.0,74010000.0,,50.19,14.6028,84.2466,110.402,110.402,932.0,19145.0,,,
2020,常州市,6261,112,17,24,26,45,1.7888516211467815,常州,147939.0,78050000.0,,51.57,24.122,92.98857,127.36831,127.36831,997.0,15861.11,,,
2021,常州市,5332,98,14,27,24,33,1.837959489872468,常州,165724.0,88080000.0,,50.43,30.50123,89.8598,134.33535,134.33535,1089.0,20866.0,,,
2022,常州市,5690,92,5,23,29,35,1.616871704745167,常州,178243.0,95500000.0,,49.35,10.233,94.6512,132.33355,132.33355,1136.0,15073.0,1.80,48.84,49.35
2023,常州市,5437,88,7,34,23,24,1.618539635828582,常州,188366.0,101160000.0,78.5,50.22,1.2284,121.6152,137.1772,137.1773,1174.0,5559.0,,,
2013,广州市,5144,58,11,8,13,26,1.1275272161741834,广州,185338.0,154201434.0,,64.62,292.62,50.6,343.22,394.29,2240.0,12635.0,,,
2014,广州市,5110,63,9,10,11,33,1.2328767123287672,广州,128478.0,167068719.0,,65.23,281.12,92.31,373.43,430.21,2612.0,22332.0,,,
2015,广州市,5024,55,11,5,11,28,1.094745222929936,广州,136188.0,181004136.0,,67.11,334.97,99.18,434.15,455.84,4335.0,9370.0,,,
2016,广州市,6794,98,10,17,30,41,1.4424492198999117,广州,141933.0,195474420.0,,69.35,383.49,101.19,484.67,504.36,4550.0,141734.0,,,
2017,广州市,6995,93,14,10,25,44,1.3295210864903504,广州,150678.0,215031500.0,,,416.58,91.11,507.69,526.11,4483.0,255767.0,,,
2018,广州市,6787,81,16,8,16,41,1.1934580816266391,广州,155491.0,228593471.0,,71.75,395.00941,161.4235,557.56152,557.56152,5645.0,225977.0,,,
2019,广州市,6385,100,21,9,22,48,1.5661707126076745,广州,156427.0,236290000.0,,71.62,339.47188,311.9044,668.04239,668.04239,5558.0,190055.89,,,
2020,广州市,6648,66,14,4,13,35,0.9927797833935018,广州,135047.0,250190000.0,,72.51,185.09646,384.76655,613.14701,613.14701,5719.0,466743.33,,,
2021,广州市,8151,97,12,14,18,53,1.1900380321432953,广州,150366.0,282320000.0,,71.56,109.90548,439.62191,587.3837,587.3837,6806.0,705981.0,,,
2022,广州市,8348,104,10,29,21,44,1.2458073790129371,广州,153625.0,288390000.0,,71.47,0.0,521.61798,604.88975,604.88975,6958.0,319499.0,1.10,27.43,71.47
2023,广州市,8616,107,7,31,32,37,1.2418755803156918,广州,161634.0,303560000.0,86.76,73.34,0.0,510.16731,611.01474,611.01474,6973.0,11480.0,,,
2013,廊坊市,6189,82,9,13,23,37,1.3249313297786396,廊坊,46046.0,19431340.0,,37.16,,,,16.5,212.0,1944.0,,,
2014,廊坊市,5851,119,20,13,40,46,2.033840369167664,廊坊,48407.0,21759631.0,,42.5,,,,16.91,254.0,1155.0,,,
2015,廊坊市,5685,96,11,9,47,29,1.688654353562005,廊坊,54460.0,24738649.0,,47.1,,12.41,12.41,21.04,239.0,2668.0,,,
2016,廊坊市,7890,152,21,27,69,35,1.9264892268694551,廊坊,58972.0,27063015.0,,48.6,,30.73,30.73,30.73,491.0,12076.0,,,
2017,廊坊市,6415,90,16,9,35,30,1.4029618082618862,廊坊,61586.0,28810071.0,,,,30.68,30.68,30.68,701.0,17792.0,,,
2018,廊坊市,6181,97,6,9,31,51,1.5693253518848085,廊坊,64906.0,31082249.0,,57.06,0.0,32.23,32.23,32.23,753.0,23259.0,,,
2019,廊坊市,3403,50,9,4,14,23,1.4692918013517484,廊坊,65512.0,31960000.0,,60.44,0.0,49.94805,49.94805,49.94805,749.0,15200.0,,,
2020,廊坊市,3706,52,8,4,16,24,1.4031300593631948,廊坊,60989.0,33010000.0,,62.34,0.0,44.36247,44.36247,44.36247,807.0,6818.0,,,
2021,廊坊市,3298,51,6,5,19,21,1.5463917525773196,廊坊,64460.0,35530000.0,,60.32,0.0,41.375,41.375,41.375,797.0,21581.0,,,
2022,廊坊市,5069,70,6,10,18,36,1.3809429867824028,廊坊,64626.0,35650000.0,,60.02,0.0,31.5671,31.5671,31.5671,828.0,8316.0,6.46,33.53,60.02
2023,廊坊市,3753,59,6,18,14,21,1.5720756727950973,廊坊,65763.0,36080000.0,66.81,61.98,0.0,41.9071,41.9071,41.9071,928.0,0.0,,,
2014,张家口市,3801,52,6,15,19,12,1.368061036569324,张家口,30540.0,13489726.0,,39.58,44.55,,44.55,49.5,160.0,28300.0,,,
2015,张家口市,4969,72,9,15,22,26,1.448983698933387,张家口,30840.0,13635443.0,,42.12,46.55,,46.55,49.0,160.0,200.0,,,
2016,张家口市,6406,117,11,35,49,22,1.8264127380580704,张家口,33142.0,14659911.0,,44.53,53.03,,53.02,55.5,244.0,1338.0,,,
2017,张家口市,5934,113,14,30,48,21,1.9042804179305692,张家口,32219.0,14270162.0,,,47.67,,47.67,48.87,485.0,290.0,,,
2018,张家口市,6831,135,7,52,37,39,1.9762845849802373,张家口,34661.0,15366202.0,,51.51,53.6455,0.0,53.6455,54.2137,571.0,,,,
2019,张家口市,5698,90,8,17,27,38,1.5795015795015794,张家口,35025.0,15510000.0,,55.57,57.4475,0.0,57.4475,57.5241,1136.0,159.0,,,
2020,张家口市,7079,122,12,26,38,46,1.7234072609125584,张家口,38637.0,16000000.0,,56.31,56.8808,0.0,56.8808,56.8808,1218.0,5556.0,,,
2021,张家口市,5516,102,4,36,32,30,1.849166062364032,张家口,42049.0,17280000.0,,56.19,25.28658,16.0153,41.30188,41.30188,1247.0,2270.0,,,
2022,张家口市,4678,83,10,31,24,18,1.774262505344164,张家口,43435.0,17750000.0,,55.83,0.0,43.1644,43.1644,43.1644,1038.0,1562.0,17.88,26.29,55.83
2023,张家口市,5111,107,17,26,26,38,2.0935237722559186,张家口,45360.0,18430000.0,68.35,57.35,0.0,42.732,42.732,42.732,1136.0,989.0,,,
2013,徐州市,4869,77,12,9,24,32,1.5814335592524134,徐州,53263.0,44358243.0,,42.5,7.51,51.74,59.25,59.25,457.0,6600.0,,,
2014,徐州市,5384,125,21,21,34,49,2.321693907875186,徐州,57655.0,49639100.0,,45.21,11.65,59.94,71.6,75.31,546.0,150.0,,,
2015,徐州市,5400,95,17,17,19,42,1.7592592592592593,徐州,61511.0,53198804.0,,46.24,19.83,59.95,79.78,79.78,651.0,5300.0,,,
2016,徐州市,5862,114,22,19,24,49,1.9447287615148408,徐州,66845.0,58085200.0,,47.38,28.91,63.45,92.36,92.36,840.0,8660.0,,,
2017,徐州市,5879,122,13,12,32,65,2.075182854226909,徐州,72493.0,66059484.0,,,41.78,58.62,103.8,103.8,974.0,20390.0,,,
2018,徐州市,5942,121,12,16,42,51,2.036351396836082,徐州,76915.0,67552300.0,,49.03,51.88392,54.77837,119.33035,119.33035,1001.0,89800.0,,,
2019,徐州市,5544,127,16,20,37,54,2.290764790764791,徐州,81138.0,71510000.0,,50.1,63.49014,52.33543,129.91135,129.91135,1013.0,23172.0,,,
2020,徐州市,5833,98,18,10,23,47,1.6800960054860277,徐州,80673.0,73200000.0,,50.12,32.98536,74.81763,117.6478,117.6478,975.0,65090.0,,,
2021,徐州市,5743,98,9,27,27,35,1.706425213303152,徐州,89634.0,81170000.0,,49.25,0.0,110.20057,132.33165,132.33165,986.0,0.0,,,
2022,徐州市,6380,104,10,22,37,35,1.6300940438871474,徐州,93731.0,84580000.0,,48.39,0.0,106.56627,129.42525,129.42525,986.0,1985.0,9.13,42.48,48.39
2023,徐州市,5753,87,5,24,28,30,1.512254475925604,徐州,98683.0,89000000.0,67.6,50.64,0.0,110.24755,129.87763,129.87763,1376.0,0.0,,,
2013,德阳市,4504,58,12,13,15,18,1.2877442273534636,德阳,,,,,,,,,,,,,
2014,德阳市,4222,79,14,10,22,33,1.8711511132164853,德阳,,,,,,,,,,,,,
2015,德阳市,4075,55,12,14,15,14,1.3496932515337423,德阳,,,,,,,,,,,,,
2016,德阳市,5124,55,12,12,14,17,1.0733801717408276,德阳,,,,,,,,,,,,,
2017,德阳市,5128,55,12,12,14,17,1.0725429017160686,德阳,,,,,,,,,,,,,
2018,德阳市,4209,70,15,12,17,26,1.663102874792112,德阳,,,,,,,,,,,,,
2019,德阳市,6075,101,15,10,22,54,1.662551440329218,德阳,,,,,,,,,,,,,
2020,德阳市,7211,82,11,7,29,35,1.1371515739841909,德阳,,,,,,,,,,,,,
2021,德阳市,8118,110,14,16,37,43,1.3550135501355014,德阳,,,,,,,,,,,,,
2022,德阳市,9284,164,24,40,62,38,1.7664799655320984,德阳,,,,,,,,,,,10.52,48.10,41.38
2023,德阳市,7841,110,10,29,30,41,1.4028822854227776,德阳,,,,,,,,,,,,,
2013,惠州市,4554,80,13,12,27,28,1.756697408871322,惠州,78086.0,26783541.0,,37.0,46.7,12.97,59.67,67.68,205.0,24787.0,,,
2014,惠州市,5105,86,12,15,30,29,1.6846229187071498,惠州,63657.0,30003674.0,,38.74,52.75,17.54,70.29,73.11,247.0,43222.0,,,
2015,惠州市,5364,77,10,9,37,21,1.435495898583147,惠州,66231.0,31400306.0,,40.2,78.86,16.43,95.29,95.29,267.0,64714.0,,,
2016,惠州市,6805,125,26,30,35,34,1.836884643644379,惠州,71605.0,34121671.0,,41.12,90.67,34.26,124.93,124.93,285.0,19437.0,,,
2018,惠州市,7325,162,25,28,49,60,2.21160409556314,惠州,85418.0,41030532.0,,43.03,121.2271,23.7721,144.9992,144.99933,328.0,12491.84,,,
2019,惠州市,5520,99,19,6,27,47,1.7934782608695652,惠州,86043.0,41770000.0,,43.16,97.19376,37.38498,134.57874,134.57874,483.0,41330.19,,,
2020,惠州市,6517,95,26,5,26,38,1.4577259475218658,惠州,70191.0,42210000.0,,44.25,44.9542,80.92911,125.88331,125.88331,614.0,3536.0,,,
2021,惠州市,7569,87,9,24,21,33,1.1494252873563218,惠州,82113.0,49770000.0,,42.03,1.0704,135.8626,136.933,136.933,681.0,12256.0,,,
2022,惠州市,8119,117,18,41,22,36,1.441064170464343,惠州,89157.0,54010000.0,,38.95,0.0,140.00678,140.00678,140.0884,669.0,2279.0,5.14,55.91,38.95
2023,惠州市,8511,98,14,22,21,41,1.1514510633298085,惠州,93036.0,56400000.0,73.3,40.31,0.0,136.16359,139.05689,139.13565,720.0,460.0,,,
2013,成都市,7614,117,8,19,53,37,1.536643026004728,成都,76674.0,91088904.0,,50.22,80.88,172.7,253.59,253.59,1136.0,1099.0,,,
2014,成都市,5747,100,14,13,36,37,1.7400382808421786,成都,70019.0,100565926.0,,51.62,96.51,170.69,267.2,267.2,1321.0,11416.0,,,
2015,成都市,5944,80,11,12,27,30,1.3458950201884252,成都,74273.0,108011633.0,,52.81,116.18,157.37,273.55,273.55,1354.0,3152.0,,,
2016,成都市,5852,55,5,5,23,22,0.9398496240601504,成都,76960.0,121702335.0,,53.11,162.06,188.91,350.96,350.96,2687.0,736.0,,,
2017,成都市,6106,96,13,37,13,33,1.5722240419259743,成都,86911.0,138893900.0,,,217.09,219.72,442.95,442.95,2882.0,110625.0,,,
2018,成都市,7484,122,14,42,32,34,1.630144307856761,成都,94782.0,153427716.0,,54.12,206.42657,236.95114,446.96401,446.96401,3805.0,128019.16,,,
2019,成都市,6678,79,9,20,19,31,1.1829889188379754,成都,103386.0,170130000.0,,65.57,250.95538,267.31041,527.22217,527.22228,5791.0,96755.46,,,
2020,成都市,8569,94,10,7,33,44,1.096977476951803,成都,85679.0,177170000.0,,65.72,241.51364,260.08946,511.39342,511.39872,6147.0,175107.0,,,
2021,成都市,9348,98,13,12,38,35,1.0483525887890457,成都,94622.0,199170000.0,,66.38,92.94948,442.85532,548.9475,548.9475,7610.0,217153.0,,,
2022,成都市,7005,88,5,30,25,28,1.2562455389007852,成都,98149.0,208180000.0,,66.41,56.82413,472.53329,541.4968,541.4968,7934.0,115844.0,2.83,30.76,66.41
2023,成都市,12897,149,15,41,62,31,1.1553074358377915,成都,103465.0,220750000.0,80.5,68.44,69.22621,484.23167,566.2326,566.2327,8374.0,185282.0,,,
2013,扬州市,5123,95,18,16,14,47,1.8543821979309,扬州,70696.0,32520078.0,,41.02,8.49,38.08,46.56,46.56,218.0,16250.0,,,
2014,扬州市,5510,118,11,22,39,46,2.1415607985480944,扬州,82654.0,36979100.0,,42.86,13.37,35.4,48.77,48.77,245.0,17960.0,,,
2015,扬州市,5595,114,9,25,37,43,2.037533512064343,扬州,89647.0,40168400.0,,43.89,18.68,37.93,56.61,56.61,282.0,20189.0,,,
2016,扬州市,6148,112,10,22,43,37,1.8217306441119063,扬州,99151.0,44493800.0,,44.96,13.63,52.85,66.49,66.49,326.0,15191.0,,,
2017,扬州市,6518,113,11,15,43,44,1.7336606320957348,扬州,112862.0,50649237.0,,,23.72,30.37,56.32,56.32,369.0,6540.0,,,
2018,扬州市,5132,99,9,21,35,34,1.9290724863600937,扬州,120944.0,54661700.0,,47.01,20.0385,45.0849,68.0933,68.0933,432.0,9860.5,,,
2019,扬州市,4837,93,11,22,29,31,1.9226793467025012,扬州,128856.0,58500000.0,,47.51,12.0564,53.8973,69.797,69.797,520.0,46154.0,,,
2020,扬州市,5589,120,11,17,33,59,2.147074610842727,扬州,132784.0,60480000.0,,48.86,10.1357,48.2451,67.4826,67.4826,533.0,59139.0,,,
2021,扬州市,5847,99,12,11,36,40,1.6931759876859929,扬州,146562.0,66960000.0,,47.37,9.65596,56.53204,71.51168,71.51168,391.0,43456.0,,,
2022,扬州市,6972,130,12,41,38,39,1.864601262191624,扬州,155132.0,71050000.0,,46.56,0.0,57.8385,63.6038,63.6038,435.0,19332.0,4.60,48.84,46.56
2023,扬州市,4886,93,13,23,29,28,1.903397462136717,扬州,161940.0,74230000.0,72.8,48.18,0.0,60.9399,69.9707,69.9707,439.0,17983.0,,,
2013,承德市,6295,101,18,22,26,35,1.6044479745830025,承德,33653.0,12720917.0,,32.38,1.18,32.76,33.93,39.53,255.0,200.0,,,
2014,承德市,5612,115,20,37,36,22,2.0491803278688523,承德,38128.0,13425500.0,,33.2,1.3,30.06,31.36,37.54,271.0,6257.0,,,
2015,承德市,4411,71,16,20,18,17,1.6096123328043528,承德,38505.0,13587278.0,,35.82,1.43,29.34,30.77,37.08,150.0,724.0,,,
2016,承德市,7096,145,15,39,43,48,2.0434047350620066,承德,40741.0,14385741.0,,37.68,1.57,31.98,33.55,35.32,216.0,519.0,,,
2017,承德市,7518,141,17,36,47,41,1.8754988028731048,承德,41299.0,14654537.0,,,3.29,25.27,28.55,28.57,515.0,451.0,,,
2018,承德市,6072,129,12,41,43,33,2.124505928853755,承德,41476.0,14815102.0,,45.68,2.0221,26.27867,28.30076,28.30076,483.0,10828.16,,,
